Sample,Tissue,Sex,Age
GTEX-WVLH-0011-R4A-SM-3MJFS,Amygdala,Male,58.0
GTEX-1269C-0011-R4b-SM-5P9ES,Amygdala,Female,62.0
GTEX-OHPN-0011-R4A-SM-2I5FD,Amygdala,Female,61.0
GTEX-P44G-0011-R4A-SM-2I3FB,Amygdala,Male,34.0
GTEX-147GR-0011-R4a-SM-5S2V2,Amygdala,Male,65.0
GTEX-X4XX-0011-R4B-SM-46MWL,Amygdala,Male,69.0
GTEX-13112-0011-R4b-SM-5DUXL,Amygdala,Male,52.0
GTEX-13OW6-0011-R4a-SM-5O9DX,Amygdala,Male,59.0
GTEX-13X6J-0011-R4b-SM-5P9K4,Amygdala,Male,56.0
GTEX-RNOR-0011-R4A-SM-3GAD3,Amygdala,Female,52.0
GTEX-QMR6-0011-R4A-SM-32PKU,Amygdala,Male,59.0
GTEX-X585-0011-R4B-SM-46MVH,Amygdala,Male,56.0
GTEX-P44H-0011-R4A-SM-2XCEW,Amygdala,Male,43.0
GTEX-13QIC-0011-R4a-SM-5PNX8,Amygdala,Female,65.0
GTEX-13X6I-0011-R4b-SM-5PNU9,Amygdala,Male,65.0
GTEX-131YS-0011-R4a-SM-5DUVL,Amygdala,Female,67.0
GTEX-12WSA-0011-R4a-SM-57WB7,Amygdala,Male,67.0
GTEX-1399T-0011-R4b-SM-5DUVX,Amygdala,Male,67.0
GTEX-13SLW-0011-R4b-SM-5S2W2,Amygdala,Male,70.0
GTEX-145MI-0011-R4b-SM-5PNZH,Amygdala,Female,68.0
GTEX-R55E-0011-R4A-SM-2TC5H,Amygdala,Male,22.0
GTEX-139T8-0011-R4a-SM-5HL54,Amygdala,Male,62.0
GTEX-YFC4-0011-R4a-SM-4RGLQ,Amygdala,Female,47.0
GTEX-QVJO-0011-R4A-SM-2S1QL,Amygdala,Female,64.0
GTEX-TSE9-0011-R4A-SM-3DB7H,Amygdala,Female,60.0
GTEX-QDT8-0011-R4A-SM-32PKM,Amygdala,Female,30.0
GTEX-139UC-0011-R4a-SM-5K7XM,Amygdala,Male,67.0
GTEX-13JVG-0011-R4a-SM-5MR4C,Amygdala,Male,64.0
GTEX-NL3H-0011-R4a-SM-2I3GK,Amygdala,Male,60.0
GTEX-RVPU-0011-R4A-SM-2TF6X,Amygdala,Male,57.0
GTEX-13OW7-0011-R4b-SM-5O9CX,Amygdala,Male,53.0
GTEX-13RTJ-0011-R4b-SM-5PNX1,Amygdala,Male,60.0
GTEX-XLM4-0011-R4B-SM-4AT5C,Amygdala,Male,64.0
GTEX-12WS9-0011-R4b-SM-5P9EU,Amygdala,Female,59.0
GTEX-13X6K-0011-R4b-SM-5P9HO,Amygdala,Female,61.0
GTEX-12WSD-0011-R4b-SM-5LZUA,Amygdala,Female,64.0
GTEX-13OVL-0011-R4b-SM-5L3HV,Amygdala,Male,50.0
GTEX-NL4W-0011-R4a-SM-2I5GZ,Amygdala,Male,53.0
GTEX-QVUS-0011-R4A-SM-3GAE7,Amygdala,Female,69.0
GTEX-1445S-0011-R4a-SM-5PNWN,Amygdala,Male,64.0
GTEX-N7MS-0011-R4a-SM-2HMKW,Amygdala,Male,61.0
GTEX-13PVQ-0011-R4a-SM-5O9CT,Amygdala,Male,59.0
GTEX-145LS-0011-R4b-SM-5S2UT,Amygdala,Female,61.0
GTEX-13OVH-0011-R4a-SM-5KM3W,Amygdala,Male,70.0
GTEX-13N1W-0011-R4a-SM-5MR52,Amygdala,Male,70.0
GTEX-144GL-0011-R4a-SM-5PNUI,Amygdala,Male,57.0
GTEX-13OVJ-0011-R4b-SM-5P9H5,Amygdala,Female,55.0
GTEX-1313W-0011-R4b-SM-5KLZV,Amygdala,Female,54.0
GTEX-12WSH-0011-R4a-SM-5GU6K,Amygdala,Male,59.0
GTEX-13OW5-0011-R4b-SM-5L3HS,Amygdala,Male,62.0
GTEX-12ZZZ-0011-R4b-SM-5DUV7,Amygdala,Male,64.0
GTEX-13NYS-0011-R4b-SM-5MR3O,Amygdala,Male,63.0
GTEX-ZAB4-0011-R4a-SM-4SOKB,Amygdala,Male,47.0
GTEX-14ABY-0011-R4b-SM-5S2VN,Amygdala,Male,59.0
GTEX-UTHO-0011-R4A-SM-3GIJP,Amygdala,Male,68.0
GTEX-11ZU8-0011-R4a-SM-5BC6Y,Amygdala,Male,64.0
GTEX-14BIM-0011-R4b-SM-5S2RK,Amygdala,Female,64.0
GTEX-N7MT-0011-R4a-SM-2I3G9,Amygdala,Female,68.0
GTEX-13FLV-0011-R4a-SM-5LZYU,Amygdala,Male,50.0
GTEX-WZTO-0011-R4A-SM-3NMC7,Amygdala,Male,44.0
GTEX-12ZZW-0011-R4a-SM-5DUX9,Amygdala,Male,57.0
